,age,gender,experience,group,a1,l1,a2,l2,a3,l3,a4,l4,a5,l5,a1_score,a2_score,a3_score,a4_score,a5_score
13,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,word_count,1,indices_sum_up,1,square_diff,1,I do not know,0,I do not know,0,0.8695652173913043,0.6857142857142857,0.8461538461538461,0.0,0.0
14,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningless,process_words,1,complementary_numbers,1,find_diff_alg,1,compute_exp_sum,1,calc_digits,1,0.5384615384615384,0.5128205128205128,0.6923076923076923,1.0,0.5454545454545454
15,Age.age_30_34,Gender.Female,Experience.five_or_more,Group.Meaningful,words_count,1,chk_sum_target,1,num_square_diff,1,num_exp_sum,1,multi_digits,1,0.9166666666666666,0.6857142857142857,0.9333333333333333,0.64,0.8888888888888888
16,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,6,-1,Black,-1,Sum,1,Silence ,-1,Car,-1,0.0,0.0,0.3333333333333333,0.0,0.0
17,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,I do not know,0,find_diff,1,I do not know,0,I do not know,0,0.0,0.0,0.45454545454545453,0.0,0.0
18,Age.age_30_34,Gender.Female,Experience.five_or_more,Group.Meaningless,words_dict,1,I don't know,0,I don't know,0,exp_num_sum,1,calc_digits,1,0.6086956521739131,0.0,0.0,0.5384615384615384,0.5454545454545454
19,Age.age_20_24,Gender.Male,Experience.one_or_less,Group.Meaningless,Word_process,1,Find_right_numbers,1,Compute_diff_alg,1,Sum_of_exp,1,Calc_digits,1,0.96,1.0,0.6896551724137931,0.4,0.5454545454545454
20,Age.age_30_34,Gender.Female,Experience.five_or_more,Group.Meaningless,word_count,1,complementary,0,diff_alg,1,I don't know,0,find_digits,1,0.5217391304347826,0.0,0.7619047619047619,0.0,0.5454545454545454
21,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,count_words,1,sum_of_index,1,diff_of_square,1,sum_of_digits,1,sum_of_squares,1,0.5,0.42424242424242425,0.4827586206896552,0.8148148148148148,0.20689655172413793
22,Age.age_25_29,Gender.Male,Experience.one_or_less,Group.Meaningful,Count_words,1,Calculate_complementary_indices,1,Calc_square_diff,1,Sum_of_power,1,Multiply_digits,1,0.5,0.2692307692307692,0.7741935483870968,0.38461538461538464,1.0
23,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,count_words,1,i do not know,0,sum_square_diff,1,power,1,i do not know,0,0.5,0.0,1.0,0.10526315789473684,0.0
24,Age.age_25_29,Gender.Female,Experience.five_or_more,Group.Meaningful,I do not know,0,sum_to_target,1,I do not know,0,sum_of_digits,1,multiply_digits,1,0.0,0.7647058823529411,0.0,0.8148148148148148,1.0
25,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,count_words,1,sum_index_target,1,sum_squares_n,1,sum_exp_digits,1,multiply_digits,1,0.5,0.5945945945945946,0.7857142857142857,1.0,1.0
26,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningless,count_words,1,find_right_numbers,1,calc_diff_squares,1,calc_exp_sum,1,calc_digits,1,0.4166666666666667,1.0,0.7333333333333333,0.6666666666666666,0.5454545454545454
27,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,Count_words,1,Don't know,0,Sum_squares,1,Don't remember,0,Don't remember,0,0.5,0.0,0.7692307692307693,0.0,0.0
28,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,I do not know ,0,I do not know ,0,Sum_square_diff,1,Sum_pow_diff,1,I do not know ,0,0.0,0.0,1.0,0.6153846153846154,0.0
29,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningless,count_words,1,i dont know,0,diff_square,1,sum_exp,1,i dont know,0,0.4166666666666667,0.0,0.5,0.45454545454545453,0.0
30,Age.age_25_29,Gender.Female,Experience.two_to_four,Group.Meaningless,Word_press,1,Find_right_num,1,Calc_diff_algo,1,Calc_digits_sum,1,I don't know,0,0.8695652173913043,0.875,0.9629629629629629,0.4,0.0
31,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningless,count_words,1,I do not know,0,return_diff,1,I do not know,0,I do not know,0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.0
32,Age.age_35_plus,Gender.Other,Experience.five_or_more,Group.Meaningless,No,-1,No,-1,No,-1,No,-1,No,-1,0.0,0.0,0.0,0.0,0.0
33,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningful,Word_count,1,I don’t know ,0,diff_of_sum_squares,1,I don’t know,0,I don’t know,0,0.8695652173913043,0.0,0.5882352941176471,0.0,0.0
34,Age.age_20_24,Gender.Female,Experience.two_to_four,Group.Meaningful,Count_words,1,Indices_sum_to_target,1,Sum_of_squares_diff,1,Exp_sum_digits,1,Mul_num_digits,1,0.5,1.0,0.8823529411764706,0.7142857142857143,0.6896551724137931
35,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,count_words,1,indices_sum_to,1,square_diff,1,digits_sum,1,mult_digits,1,0.5,0.8,0.8461538461538461,0.5,0.8461538461538461
36,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,0.0,0.0,0.0,0.0,0.0
37,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,0.0,0.0,0.0,0.0,0.0
38,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningless,process_words,1,target,1,calc_alg,1,calc_alg,1,calc_digits,1,0.5384615384615384,0.25,0.7619047619047619,0.17391304347826086,0.5454545454545454
39,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,count_words,1,I don't know,0,diff_square_sum,1,I don't know,0,I don't know,0,0.5,0.0,0.5333333333333333,0.0,0.0
40,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,0.0,0.0,0.0,0.0,0.0
41,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,0.0,0.0,0.0,0.0,0.0
42,Age.age_20_24,Gender.Female,Experience.two_to_four,Group.Meaningful,I don’t know ,0,I don’t know ,0,I don’t know ,0,I don’t know ,0,I don’t know ,0,0.0,0.0,0.0,0.0,0.0
43,Age.age_20_24,Gender.Female,Experience.two_to_four,Group.Meaningless,I don't know ,0,I don't know,0,Calc_diff_algo ,1,I don't know,0,I don't know,0,0.0,0.0,0.9285714285714286,0.0,0.0
44,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningless,3,-1,3,-1,3,-1,3,-1,3,-1,0.0,0.0,0.0,0.0,0.0
45,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,yes,-1,I do not know,0,I do not know,0,yes,-1,no,-1,0.0,0.0,0.0,0.0,0.0
46,Age.age_20_24,Gender.Male,Experience.two_to_four,Group.Meaningful,Count_words,1,Sum_indices,1,sum_square_diff,1,2_n_sum_digits,1,digits_product,1,0.5,0.4375,1.0,0.7142857142857143,0.41379310344827586
47,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningful,word_count,1,list_target,1,diff_sum_square,1,sum_exp,1,multiply_digits,1,0.8695652173913043,0.625,0.6666666666666666,0.6666666666666666,1.0
48,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningless,I don't know,0,I don't know,0,sum_squares_diff,1,exp_sum,1,I don't know,0,0.0,0.0,0.41379310344827586,0.6363636363636364,0.0
49,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningless,count_words,1,find_right_numbers,1,i do not know,0,sum_exp,1,i do not know,0,0.4166666666666667,1.0,0.0,0.45454545454545453,0.0
50,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningful,Words_counter,1,I dont know,0,Sum_square_diff,1,I don't know,0,I don't know,0,1.0,0.0,1.0,0.0,0.0
51,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,Word_count,1,I don't know ,0,Sum_diff,1,I don't know,0,I don't know,0,0.8695652173913043,0.0,0.6956521739130435,0.0,0.0
52,Age.age_30_34,Gender.Male,Experience.two_to_four,Group.Meaningless,Word_count,1,?,0,?,0,Sum digits,1,?,0,0.5217391304347826,0.0,0.0,0.24,0.0
53,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningless,Words_value,1,I don't know ,0,Square_sum_alg,1,I don't know ,0,I don't know ,0,0.5833333333333334,0.0,0.4444444444444444,0.0,0.0
54,Age.age_20_24,Gender.Male,Experience.one_or_less,Group.Meaningless,count_words,1,find_right_place,1,compute_difficulty,1,I don't know,0,count_digits,1,0.4166666666666667,0.7058823529411765,0.45161290322580644,0.0,0.5217391304347826
55,Age.age_35_plus,Gender.Female,Experience.five_or_more,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,0.0,0.0,0.0,0.0,0.0
56,Age.age_35_plus,Gender.Male,Experience.two_to_four,Group.Meaningful,words_counter,1,I do not know,0,I do not know,0,I do not know,0,digits_multiply,1,1.0,0.0,0.0,0.0,0.5333333333333333
57,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,word_counter,1,i do not know,0,diff_sum_squares,1,sum_num_digits,1,i do not know,0,0.96,0.0,0.6451612903225806,0.7857142857142857,0.0
58,Age.age_30_34,Gender.Female,Experience.two_to_four,Group.Meaningless,process_sentence,1,i dont know,0,algo_diff,1,digits_sum,1,i dont remember,0,0.4827586206896552,0.0,0.6363636363636364,0.4,0.0
59,Age.age_20_24,Gender.Female,Experience.two_to_four,Group.Meaningful,I don’t know ,0,Count_diff_target ,1,Sum_square_diff,1,I don’t know ,0,Digits_product,1,0.0,0.5128205128205128,1.0,0.0,0.41379310344827586
60,Age.age_20_24,Gender.Male,Experience.two_to_four,Group.Meaningful,word_count,1,I don't know,0,I don't know,0,I don't know,0,I don't know,0,0.8695652173913043,0.0,0.0,0.0,0.0
61,Age.age_25_29,Gender.Male,Experience.one_or_less,Group.Meaningful,words_counter,1,indices_sum_to_target,1,sum_square_diff,1,sum_exp_digits,1,multiply_digits,1,1.0,1.0,1.0,1.0,1.0
62,Age.age_25_29,Gender.Male,Experience.one_or_less,Group.Meaningful,words_count,1,i do not know,0,sum_of_squares,1,i do not know,0,sum_of_digits,1,0.9166666666666666,0.0,0.6896551724137931,0.0,0.5714285714285714
63,Age.age_20_24,Gender.Female,Experience.one_or_less,Group.Meaningful,word_counter,1,indices_sum_to_target,1,sum_squares_diff,1,I do not know,0,multiply_num_digits,1,0.96,1.0,0.967741935483871,0.0,0.8823529411764706
64,Age.age_25_29,Gender.Female,Experience.five_or_more,Group.Meaningless,I don’t know,0,I don’t know,0,I don’t know,0,Sum_of_ints,1,n,1,0.0,0.0,0.0,0.23076923076923078,0.0
65,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,alg,1,Calc_int_of,1,I do not know,0,I do not know,0,0.0,0.09523809523809523,0.5833333333333334,0.0,0.0
66,Age.age_25_29,Gender.Female,Experience.two_to_four,Group.Meaningless,Words_process,1,Find_right_digit,1,Calc_diff_algo,1,Exp_,1,Digits_calc,1,1.0,0.6470588235294118,0.9629629629629629,0.42105263157894735,1.0
67,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningless,Word_process,1,Find_right_num,1,Diff_alg,1,I don't remember,0,Digit_calc,1,0.96,0.875,0.7619047619047619,0.0,0.9523809523809523
68,Age.age_20_24,Gender.Male,Experience.five_or_more,Group.Meaningful,Count_appearances,1,The function with complimentary variable,0,"Forgot the name, though it's the 5 minus the 4 wrote",0,The function that takes power as an argument,0,Multiply_digits,1,0.4666666666666667,0.0,0.0,0.0,1.0
69,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,0.0,0.0,0.0,0.0,0.0
70,Age.age_25_29,Gender.Female,Experience.one_or_less,Group.Meaningful,Count_words_sentence,1,ן do not know,0,Square_sum_diff,1,Power_,1,Multiply_digits_,1,0.5454545454545454,0.0,0.7333333333333333,0.2,0.967741935483871
71,Age.age_30_34,Gender.Male,Experience.two_to_four,Group.Meaningful,count_words,1,num_to_target,1,sum_squares_diff,1,sum_exp_digits,1,Don't remember,0,0.5,0.7647058823529411,0.967741935483871,1.0,0.0
72,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,find_right_numbers,1,diff_alg_calc,1,I do not know,0,I do not know,0,0.0,1.0,0.6153846153846154,0.0,0.0
73,Age.age_30_34,Gender.Male,Experience.two_to_four,Group.Meaningful,Count_words_in_sentence ,1,I don’t know,0,Sum_square_diff,1,I don’t know ,0,I don’t know,0,0.4864864864864865,0.0,1.0,0.0,0.0
74,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningful,count_words,1,I don't know ,0,I don't know ,0,I don't know ,0,I don't know ,0,0.5,0.0,0.0,0.0,0.0
75,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningful,count_word_occurences,1,I don't know,0,sum_square_diff,1,sum_exp_digit,1,num_digit_prod,1,0.35294117647058826,0.0,1.0,0.9629629629629629,0.4827586206896552
76,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningless,count_words,1,I do not know,0,calc_diff,1,calc_sum,1,I do not know,0,0.4166666666666667,0.0,0.8181818181818182,0.43478260869565216,0.0
77,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningful,count_words,1,indices_sum_target,1,sum_square_diff,1,sum_digits_power,1,multiply_digits,1,0.5,0.9230769230769231,1.0,0.6666666666666666,1.0
78,Age.age_20_24,Gender.Male,Experience.two_to_four,Group.Meaningless,word_count,1,find_correct_numbers,1,calc_difference,1,exp_sum,1,calc_digits,1,0.5217391304347826,0.7894736842105263,0.6428571428571429,0.6363636363636364,0.5454545454545454
79,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningful,words_counter,1,I don't know,0,I don't know,0,I don't know,0,multiply_digits,1,1.0,0.0,0.0,0.0,1.0
80,Age.age_25_29,Gender.Male,Experience.one_or_less,Group.Meaningful,count_words,1,I do not know,0,squared_difference,1,I do not know,0,I do not know,0,0.5,0.0,0.6666666666666666,0.0,0.0
81,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,count_digits,1,0.0,0.0,0.0,0.0,0.5217391304347826
82,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,count_words,1,index_to_sum,1,square_differences,1,exponent_sum,1,multiply_digits,1,0.5,0.48484848484848486,0.6666666666666666,0.38461538461538464,1.0
83,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningless,word_count,1,find_right_numbers,1,diff_algo,1,calc_power,1,Don't know,0,0.5217391304347826,1.0,0.7272727272727273,0.24,0.0
84,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningless,count_words,1,I do not know,0,calc_diff_alg,1,I do not know,0,I do not know,0,0.4166666666666667,0.0,1.0,0.0,0.0
85,Age.age_25_29,Gender.Male,Experience.one_or_less,Group.Meaningless,I do not know,0,I do not know,0,Calc_dif_alg,1,Comp_exp_sum,1,I do not know,0,0.0,0.0,0.96,0.8888888888888888,0.0
86,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningful,in do not know,0,sum_int_to_target,1,sum_square_diff,1,I do not know,0,i do not know ,0,0.0,0.6842105263157895,1.0,0.0,0.0
87,Age.age_35_plus,Gender.Other,Experience.five_or_more,Group.Meaningless,count,1,I do not know,0,I do not know,0,"Can't remember the name, it was a horrible function imho (had list_num and other very annoying variable names)",0,I do not know,0,0.1111111111111111,0.0,0.0,0.0,0.0
88,Age.age_30_34,Gender.Male,Experience.two_to_four,Group.Meaningful,word_count,1,find_complement,1,sum_squares_sum_ints_diff,1,I don't know,0,I don't know,0,0.8695652173913043,0.3888888888888889,0.75,0.0,0.0
89,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,0.0,0.0,0.0,0.0,0.0
90,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,I don't know,0,get_indices_that_sum,1,I don't know,0,I don't know,0,I don't know,0,0.0,0.5365853658536586,0.0,0.0,0.0
91,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,word_count,1,I don't know ,0,sum_square_diff,1,sum_exp_digits,1,I don't know ,0,0.8695652173913043,0.0,1.0,1.0,0.0
92,Age.age_30_34,Gender.Female,Experience.two_to_four,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,0.0,0.0,0.0,0.0,0.0
93,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningful,I do not know,0,Sum_of_indices,1,Sum_of_squares_diff,1,I do not know,0,I do not know,0,0.0,0.4,0.8823529411764706,0.0,0.0
94,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,“I do not remember”,0,“I do not remember”,0,“I do not remember”,0,“I do not remember”,0,“I do not remember”,0,0.0,0.0,0.0,0.0,0.0
95,Age.age_35_plus,Gender.Female,Experience.five_or_more,Group.Meaningful,I do not know. Saw only three functions - two empty screens.,X,I do not know. Saw only three functions - two empty screens,X,square_difference,1,exp_,1,mult_digits,1,0.0,0.0,0.6875,0.4444444444444444,0.8461538461538461
96,Age.age_20_24,Gender.Male,Experience.two_to_four,Group.Meaningless,I do not know,0,find_right_numbers,1,find_diff_function,1,I do not know,0,I do not know,0,0.0,1.0,0.3870967741935484,0.0,0.0
97,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,Word_count,1,Dont remember,0,Sum_sqaures_diff,1,Sum_power,1,Digital_product,1,0.8695652173913043,0.0,0.9032258064516129,0.43478260869565216,0.3333333333333333
98,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningful,words_counter,1,I do not know,0,sum_and_square_difference,1,I do not know,0,I do not know,0,1.0,0.0,0.75,0.0,0.0
99,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,Word_count,1,Sum_indices_to_target,1,Sum_squares_difference,1,Exp_sum_of_digits,1,I cant remember,0,0.8695652173913043,0.8095238095238095,0.8108108108108109,0.7096774193548387,0.0
100,Age.age_25_29,Gender.Female,Experience.two_to_four,Group.Meaningful,Count_words_,1,_sum_,1,Sum_square_diff,1,_exp_,1,I don't know ,0,0.48,0.38461538461538464,1.0,0.5263157894736842,0.0
101,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningless,I don't know,0,I don't know,0,Diff_sum_squares,1,Sum_power,1,Digital_prod,1,0.0,0.0,0.41379310344827586,0.25,0.6086956521739131
102,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,Count_words,1,I do not know,0,Square_sums_diff,1,Sum_digits,1,Multiply_digits,1,0.5,0.0,0.7096774193548387,0.8333333333333334,1.0
103,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,I dont know,0,I dont know,0,Sum_squares_diff,1,Sum_exp_digits,1,Multiply_digits,1,0.0,0.0,0.967741935483871,1.0,1.0
104,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,0.0,0.0,0.0,0.0,0.0
105,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,count_words_in_sentence,1,find_indices_to_target,1,calc_diff_squares,1,calc_sum_of_power,1,multiply_digits,1,0.5,0.7906976744186046,0.4375,0.3225806451612903,1.0
106,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,get_right_numbers,1,I do not know,0,I do not know,0,calc_digits,1,0.0,0.8,0.0,0.0,0.5454545454545454
107,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,sum_of_digts,1,0.0,0.0,0.0,0.0,0.43478260869565216
108,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,word_counter,1,indices_sum_to_target,1,diff_sum_squares,1,i don't know,0,multiply_digits,1,0.96,1.0,0.6451612903225806,0.0,1.0
109,Age.age_35_plus,Gender.Female,Experience.two_to_four,Group.Meaningless,Words_process,1,Find_right_numbers,1,Calc_diff_alg,1,Compute_exp_sum,1,Digit_calc,1,1.0,1.0,1.0,1.0,0.9523809523809523
110,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningless,i do not know,0,i do not know,0,i do not know,0,i do not know,0,i do not know,0,0.0,0.0,0.0,0.0,0.0
111,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,words_in_sentence,1,sum_to_target,1,diff_from_squre,1,I don't know,0,I don't know,0,0.6,0.7647058823529411,0.4666666666666667,0.0,0.0
112,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningful,count_words,1,sum_digits,1,sum_squares_diff,1,sum_exp,1,multiply_digits,1,0.5,0.3870967741935484,0.967741935483871,0.6666666666666666,1.0
113,Age.age_30_34,Gender.Male,Experience.two_to_four,Group.Meaningful,word_count,1,sum_to_target,1,I do not know,0,I do not know,0,multiply_digits,1,0.8695652173913043,0.7647058823529411,0.0,0.0,1.0
114,Age.age_20_24,Gender.Male,Experience.five_or_more,Group.Meaningful,count_words,1,slices_val_indices_,1,square_sum_diff,1,power_sum,1,exp_digit_sum,1,0.5,0.4,0.7333333333333333,0.2608695652173913,0.5714285714285714
115,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,words_counter,1,indices_sum_to_target,1,sum_square_diff,1,sum_exp_digits,1,multiply_digits,1,1.0,1.0,1.0,1.0,1.0
116,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningful,count_words,1,find_indices_sum_target,1,sum_square_diff,1,sum_square_digits,1,multiply_digits,1,0.5,0.8181818181818182,1.0,0.7741935483870968,1.0
117,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,digits_calc,1,0.0,0.0,0.0,0.0,1.0
118,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningful,count_words,1,sum_to_target,1,sum_square_diff,1,I can't recall,0,I can't recall,0,0.5,0.7647058823529411,1.0,0.0,0.0
119,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningless,word_process,1,find_right_numbers,1,calc_distance,1,I do not know,0,process_digits,1,0.96,1.0,0.6153846153846154,0.0,0.48
120,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,digits_calc,1,0.0,0.0,0.0,0.0,1.0
121,Age.age_35_plus,Gender.Male,Experience.five_or_more,Group.Meaningful,I do not know,0,I do not know,0,sum_square_diff,1,sum_digits_exp,1,I do not know,0,0.0,0.0,1.0,0.7142857142857143,0.0
122,Age.age_20_24,Gender.Male,Experience.five_or_more,Group.Meaningless,I dont know,0,find_match_numbers,1,calc_diff_alg,1,compute_exp_sum,1,I dont know,0,0.0,0.7777777777777778,1.0,1.0,0.0
123,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningless,words_in_sentence,1,I dont know,0,I dont know,0,sun_of_squars,1,digit_in_number,1,0.5333333333333333,0.0,0.0,0.2857142857142857,0.46153846153846156
124,Age.age_25_29,Gender.Female,Experience.two_to_four,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,digits_calc,1,0.0,0.0,0.0,0.0,1.0
125,Age.age_25_29,Gender.Female,Experience.two_to_four,Group.Meaningless,words_process,1,find_right_numbers,1,calc_dif_alg,1,compute_exp_num,1,digits_calc,1,1.0,1.0,0.96,0.9333333333333333,1.0
126,Age.age_30_34,Gender.Male,Experience.two_to_four,Group.Meaningless,i don't know,0,find_right_num,1,calc_diff_alg,1,calc_exp_sum,1,calc_digits,1,0.0,0.875,1.0,0.6666666666666666,0.5454545454545454
127,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningless,Count_words,1,I do not know ,0,I do not know ,0,I do not know ,0,Digits_calc,1,0.4166666666666667,0.0,0.0,0.0,1.0
128,Age.age_30_34,Gender.Male,Experience.two_to_four,Group.Meaningless,count_words,1,check_value,1,sum_square,1,check_power,1,I do not know,0,0.4166666666666667,0.20689655172413793,0.17391304347826086,0.3076923076923077,0.0
